id_votante,centro_1,centro_2,centro_3,centro_4,centro_5,centro_6,centro_7,centro_8,centro_9,centro_10,centro_11,centro_12,centro_13,centro_14,centro_15,centro_16,centro_17,centro_18,centro_19,centro_20,centro_21,centro_22,centro_23,centro_24,centro_25,centro_26,centro_27,centro_28,centro_29,centro_30
11,1.231488,0.758605,0.280508,0.492864,1.267358,0.990333,0.870747,1.677627,0.313582,1.348011,0.904634,0.572854,0.835617,1.090348,0.750818,1.760674,1.432617,1.27873,1.502083,1.354538,1.941433,1.765962,1.008134,0.739793,1.03521,0.876769,0.703727,1.973583,1.501724,1.386139
12,1.833132,0.25585,0.930822,0.211658,1.658646,1.273972,0.876636,2.231366,1.017308,1.515653,0.727554,0.225766,0.438125,1.564368,1.069187,1.986449,1.508134,1.636284,1.636593,1.764163,2.10518,1.889244,0.688672,0.542242,1.267367,0.578952,0.630047,2.135909,1.569258,1.332677
13,1.598565,0.156575,0.800561,0.333546,1.340635,0.943012,0.520302,1.959713,0.958488,1.1613,0.37795,0.173952,0.167384,1.276904,0.760962,1.63333,1.150481,1.310098,1.279584,1.448497,1.747956,1.531579,0.386158,0.185118,0.926279,0.254984,0.277223,1.778599,1.21181,0.981835
14,0.806846,1.691406,0.777038,1.445841,1.308724,1.32464,1.541128,1.2417,0.639423,1.683499,1.68361,1.514112,1.729305,1.061415,1.186256,1.909886,1.850178,1.372245,1.833469,1.328735,2.139554,2.050062,1.836644,1.581816,1.412282,1.723833,1.497857,2.167859,1.910566,1.944762
15,1.378685,1.462067,0.784693,1.147954,1.713629,1.572354,1.586521,1.844543,0.557403,1.953059,1.644557,1.273469,1.565845,1.478648,1.360069,2.291036,2.077342,1.755349,2.111683,1.768103,2.502041,2.362676,1.749907,1.481893,1.641822,1.617734,1.443024,2.533156,2.145147,2.082582
16,1.153797,1.704069,1.483653,1.810689,0.54203,0.69926,1.04644,1.068837,1.687589,0.405769,1.24311,1.698717,1.554142,0.788871,0.939819,0.072621,0.496475,0.479604,0.332504,0.542764,0.289281,0.281034,1.381964,1.387771,0.669551,1.412853,1.287735,0.317814,0.475019,0.778107
17,0.589457,2.126717,1.217823,1.938402,1.230875,1.431469,1.799013,0.823785,1.168051,1.709925,1.99094,1.970284,2.120042,1.027258,1.394237,1.778653,1.902336,1.311279,1.832504,1.197968,2.011506,1.988774,2.165045,1.943582,1.521846,2.076019,1.837593,2.03418,1.948645,2.075944
18,0.213372,1.936222,1.162081,1.839004,0.684116,0.996446,1.45023,0.267498,1.230992,1.185074,1.671314,1.819069,1.877567,0.55763,1.056137,1.173899,1.381737,0.765831,1.283666,0.621971,1.403498,1.404208,1.852739,1.684307,1.076383,1.79502,1.56558,1.424401,1.416797,1.599276
19,1.449299,0.362059,0.569253,0.207502,1.299924,0.935044,0.625838,1.849158,0.700373,1.225158,0.573071,0.187623,0.438501,1.188392,0.712244,1.683535,1.256552,1.285637,1.362747,1.402616,1.827977,1.625423,0.636433,0.38047,0.944724,0.501662,0.39395,1.859708,1.323022,1.139102
20,1.94817,0.237957,1.071585,0.367872,1.726642,1.330216,0.895429,2.330208,1.17281,1.536587,0.713405,0.32351,0.400184,1.653066,1.143152,2.00945,1.507647,1.697166,1.646142,1.834147,2.111505,1.890051,0.634135,0.55432,1.312544,0.548672,0.66142,2.141395,1.564929,1.307318
21,1.133983,0.629694,0.334741,0.519058,1.004274,0.672372,0.524193,1.530766,0.537441,1.009853,0.59657,0.491509,0.628706,0.875033,0.433953,1.442233,1.08314,0.999241,1.160571,1.103016,1.610193,1.425634,0.733662,0.474154,0.703584,0.616498,0.398924,1.642349,1.152154,1.034487
22,0.622517,1.2999,0.387724,1.109566,0.913735,0.857462,1.067833,1.091513,0.396854,1.227458,1.223638,1.139802,1.307295,0.672401,0.707502,1.505889,1.384629,0.963527,1.381882,0.960701,1.726907,1.6133,1.385406,1.14266,0.942441,1.28154,1.04769,1.756913,1.447269,1.467114
23,1.04054,0.888781,0.096188,0.660531,1.117177,0.882484,0.860149,1.490282,0.192086,1.255662,0.941726,0.712924,0.93479,0.923868,0.652251,1.641101,1.36245,1.136968,1.413209,1.197821,1.83409,1.672684,1.07147,0.805558,0.940198,0.947937,0.74233,1.866026,1.431147,1.353713
24,1.52731,2.839983,1.924244,2.585393,2.167905,2.335546,2.645703,1.703469,1.782195,2.638493,2.810239,2.66131,2.876395,1.955452,2.25794,2.715326,2.827747,2.247606,2.766326,2.136839,2.947268,2.927572,2.971402,2.723238,2.426922,2.864066,2.632947,2.969175,2.877214,2.981865
25,1.345105,1.153365,0.562401,0.839701,1.566122,1.364865,1.315352,1.81622,0.363226,1.740027,1.354029,0.964878,1.2599,1.349191,1.136947,2.114833,1.846342,1.595881,1.897789,1.635378,2.313576,2.156485,1.450548,1.184017,1.424685,1.317249,1.153493,2.345358,1.915166,1.824388
26,1.2143,1.656938,1.486773,1.778018,0.587673,0.690237,1.000839,1.151301,1.69623,0.360282,1.188984,1.660607,1.502243,0.830309,0.929258,0.127005,0.422003,0.517878,0.260118,0.602537,0.264837,0.196832,1.321225,1.341506,0.649367,1.358818,1.245713,0.296504,0.393812,0.700049
27,0.814073,1.980271,1.488147,2.001749,0.494342,0.884126,1.353044,0.562543,1.644687,0.811097,1.578281,1.925166,1.862448,0.660895,1.083471,0.550317,0.975526,0.516638,0.824834,0.394517,0.74991,0.826439,1.744503,1.674013,0.913096,1.738804,1.557823,0.76358,0.977986,1.252059
28,1.552646,0.229189,0.697297,0.198162,1.357473,0.974963,0.605781,1.938308,0.833574,1.233151,0.505807,0.076014,0.317438,1.266226,0.76798,1.700261,1.243532,1.335784,1.361897,1.462955,1.830363,1.62021,0.536997,0.305796,0.972343,0.403684,0.358375,1.861628,1.307694,1.098404
29,0.967406,1.50426,1.232054,1.585388,0.327926,0.455532,0.851159,0.976105,1.435925,0.259019,1.06438,1.482213,1.366061,0.563348,0.695124,0.322816,0.431949,0.252012,0.30087,0.367624,0.530952,0.438097,1.219265,1.188849,0.439006,1.231479,1.081403,0.561536,0.447474,0.701784
30,0.78515,1.508842,0.5943,1.267283,1.210974,1.182511,1.369355,1.24601,0.461944,1.550933,1.505498,1.332306,1.546409,0.963985,1.027365,1.810278,1.709683,1.267888,1.704386,1.244172,2.035663,1.93141,1.65634,1.400125,1.267542,1.542337,1.317833,2.064993,1.772143,1.788485
31,2.125477,3.039987,2.20687,2.737895,2.735283,2.808105,3.014291,2.402464,2.007837,3.15613,3.133946,2.851273,3.1212,2.497891,2.673177,3.321527,3.330218,2.808297,3.300435,2.728759,3.555808,3.498065,3.270256,3.00423,2.896975,3.14634,2.938057,3.581196,3.388331,3.432421
32,0.57593,2.022333,1.107014,1.825229,1.209163,1.37618,1.721063,0.879021,1.047254,1.673794,1.906074,1.862283,2.022437,0.991098,1.32026,1.776201,1.862991,1.287495,1.803119,1.187286,2.010306,1.97317,2.077651,1.84965,1.467345,1.984312,1.746493,2.034368,1.91247,2.022804
33,1.656629,2.159426,2.04016,2.310435,1.08926,1.244982,1.516616,1.458694,2.246906,0.897644,1.67865,2.183942,1.992999,1.336698,1.48361,0.492753,0.884784,1.034646,0.758647,1.067294,0.294098,0.502492,1.784678,1.850049,1.2013,1.845291,1.765104,0.261983,0.827375,1.108286
34,1.655362,0.129733,0.803536,0.21561,1.440026,1.049766,0.647738,2.035275,0.934477,1.286071,0.511491,0.060753,0.262383,1.359158,0.852986,1.756849,1.281373,1.414355,1.407843,1.546676,1.876578,1.661715,0.505403,0.318133,1.03995,0.380128,0.400553,1.90741,1.34335,1.115578
35,1.161293,1.645478,0.822571,1.354877,1.594848,1.531439,1.644873,1.609656,0.611249,1.908108,1.744237,1.457758,1.721527,1.349016,1.349764,2.191616,2.055467,1.648759,2.064387,1.631562,2.414315,2.300209,1.873758,1.606494,1.611529,1.748113,1.545508,2.44414,2.120383,2.104987
36,0.570032,1.692201,1.154951,1.688407,0.204207,0.61021,1.095181,0.538437,1.312807,0.668861,1.32475,1.621908,1.589034,0.327628,0.778943,0.632561,0.861455,0.265566,0.745327,0.097919,0.866055,0.853057,1.499726,1.395983,0.661362,1.476057,1.276716,0.889627,0.887124,1.107932
37,1.419277,1.531985,1.526545,1.699438,0.777825,0.732082,0.899674,1.411458,1.748437,0.3515,1.049839,1.566003,1.363539,0.997511,0.947958,0.39353,0.261978,0.697687,0.194599,0.821877,0.367574,0.139862,1.154626,1.225949,0.661862,1.215546,1.147544,0.393162,0.198949,0.483975
38,1.140711,1.182453,0.428536,0.894348,1.389228,1.221156,1.236289,1.61203,0.201952,1.601094,1.308392,0.994645,1.262605,1.164355,1.005072,1.953085,1.722034,1.424468,1.759703,1.45282,2.159062,2.013158,1.426264,1.157598,1.28841,1.297429,1.107153,2.190488,1.790014,1.727543
39,1.098611,0.889747,0.167338,0.640095,1.190008,0.953156,0.911105,1.552684,0.17248,1.324789,0.979035,0.708271,0.949598,0.995169,0.721134,1.713371,1.428139,1.209979,1.481986,1.270196,1.905371,1.742251,1.100445,0.832418,1.009281,0.973607,0.777984,1.937338,1.496988,1.411577
40,1.635523,0.392811,0.705721,0.065534,1.530924,1.172041,0.850347,2.053646,0.772892,1.46134,0.761959,0.225702,0.543307,1.407214,0.946237,1.921184,1.48616,1.519542,1.59689,1.632022,2.063322,1.858416,0.781931,0.561939,1.182647,0.651974,0.607463,2.094952,1.551694,1.352253
41,1.354254,2.979971,2.066004,2.782764,1.958806,2.233072,2.635545,1.327988,1.993805,2.459064,2.835345,2.821296,2.973519,1.80184,2.228181,2.414723,2.655707,2.040749,2.558665,1.895919,2.632476,2.66484,3.011714,2.795626,2.320046,2.926534,2.687986,2.648637,2.691996,2.862246
42,0.333795,1.741944,1.080955,1.69144,0.373829,0.72289,1.198591,0.380273,1.20452,0.874443,1.426046,1.647132,1.6611,0.308998,0.829931,0.876624,1.070847,0.454595,0.969915,0.308335,1.109611,1.095126,1.606259,1.465902,0.794471,1.563492,1.34539,1.13262,1.104181,1.296855
43,0.613763,1.941213,1.362915,1.929004,0.452995,0.859919,1.344304,0.372835,1.500844,0.878907,1.573686,1.86737,1.839176,0.543346,1.026083,0.716375,1.062213,0.505903,0.927179,0.344287,0.932813,0.97791,1.747732,1.646041,0.90824,1.725917,1.526675,0.949772,1.077228,1.324473
44,1.067842,1.008163,0.221641,0.746979,1.226452,1.023947,1.021133,1.531703,0.061908,1.401308,1.097998,0.824728,1.071507,1.016275,0.800425,1.771217,1.515167,1.253869,1.559567,1.299303,1.970621,1.816404,1.221953,0.954186,1.0867,1.095577,0.897465,2.002352,1.583557,1.513485
45,1.302087,2.745199,1.821074,2.513775,1.94247,2.144732,2.490016,1.43303,1.708169,2.425972,2.669023,2.573806,2.764038,1.743765,2.0914,2.469726,2.618794,2.023636,2.546309,1.902261,2.699331,2.693019,2.837126,2.599803,2.23555,2.737722,2.501933,2.719925,2.664565,2.790525
46,1.279627,2.257163,1.37244,1.980978,1.868805,1.933053,2.158083,1.617559,1.196822,2.28105,2.293363,2.072498,2.315064,1.628019,1.804035,2.461716,2.454734,1.939791,2.426226,1.869329,2.695329,2.628221,2.440438,2.180016,2.022197,2.322722,2.103107,2.721724,2.51289,2.560735
47,0.853073,1.420734,0.51865,1.170734,1.23096,1.166662,1.317138,1.320221,0.364344,1.541533,1.441352,1.241539,1.465998,0.98693,0.994804,1.825366,1.692415,1.282707,1.697282,1.272693,2.046905,1.931942,1.586612,1.32648,1.248496,1.46914,1.249587,2.076875,1.756551,1.754939
48,0.821309,2.131479,1.207273,1.904931,1.446514,1.584052,1.893721,1.120713,1.102242,1.898912,2.064392,1.961019,2.150813,1.220417,1.503403,2.021116,2.08457,1.523251,2.033145,1.430198,2.255413,2.211762,2.229619,1.988555,1.675417,2.127397,1.892858,2.279936,2.136693,2.229444
49,0.778687,1.63382,0.717411,1.391873,1.261154,1.267365,1.47986,1.22328,0.585921,1.628307,1.622362,1.457479,1.669796,1.013493,1.126204,1.862425,1.793459,1.323152,1.779084,1.28452,2.091157,1.998095,1.7757,1.521319,1.354581,1.663245,1.436874,2.119729,1.854276,1.885282
50,0.756741,1.199283,0.275417,0.990629,0.995782,0.885071,1.030949,1.223852,0.261106,1.263611,1.166429,1.032025,1.221085,0.763555,0.704858,1.575568,1.408037,1.037758,1.420877,1.053025,1.790359,1.662511,1.319576,1.066919,0.96418,1.208352,0.98069,1.821086,1.473146,1.464368
51,1.31504,1.812117,1.6446,1.939337,0.711488,0.851359,1.15793,1.197028,1.851546,0.520474,1.339985,1.820253,1.654347,0.958666,1.09098,0.114761,0.556297,0.649751,0.40367,0.706924,0.120302,0.220213,1.46565,1.497598,0.812151,1.509498,1.404113,0.147795,0.51525,0.821574
52,0.986402,1.342055,0.484814,1.073024,1.317914,1.211078,1.306492,1.456278,0.283414,1.590925,1.409417,1.15793,1.403346,1.079503,1.018682,1.903271,1.730412,1.363483,1.748658,1.368457,2.119438,1.991849,1.543652,1.278145,1.287695,1.420533,1.212055,2.150065,1.796433,1.769668
53,0.831495,1.141037,0.218937,0.922182,1.041987,0.902935,1.011003,1.297126,0.186867,1.283552,1.133786,0.970023,1.171204,0.815961,0.708265,1.612937,1.420253,1.079584,1.441724,1.104417,1.823772,1.688277,1.281254,1.02385,0.978085,1.166156,0.943327,1.85484,1.48649,1.461659
54,0.898062,2.511379,1.602473,2.32239,1.522458,1.772687,2.165545,0.962698,1.54474,2.01819,2.363756,2.355359,2.502096,1.348032,1.758494,2.019651,2.214045,1.604585,2.127251,1.470046,2.245868,2.25465,2.539806,2.323611,1.861025,2.45436,2.215813,2.265037,2.254385,2.408751
55,1.572781,0.287012,0.679754,0.099021,1.417935,1.045905,0.701455,1.973455,0.790353,1.320383,0.610237,0.098235,0.409692,1.311353,0.82868,1.784138,1.338564,1.401095,1.452818,1.521573,1.920435,1.71297,0.638517,0.410277,1.049951,0.506246,0.45661,1.951901,1.403528,1.200307
56,1.525868,0.503822,0.583381,0.186542,1.465398,1.12691,0.858876,1.95471,0.635574,1.440558,0.806987,0.319049,0.632295,1.324443,0.89243,1.889784,1.483696,1.460841,1.583037,1.56296,2.044477,1.847293,0.854995,0.610798,1.147895,0.720981,0.630401,2.076429,1.550967,1.374769
57,1.119468,1.524675,1.339926,1.635555,0.47995,0.541977,0.867089,1.110164,1.550891,0.226351,1.064073,1.52129,1.374736,0.712327,0.780862,0.247957,0.339932,0.402952,0.182292,0.51662,0.41165,0.288148,1.204956,1.208421,0.501648,1.233743,1.109055,0.443599,0.335345,0.622713
58,1.580605,0.341159,0.668136,0.057693,1.452125,1.087811,0.76037,1.990249,0.760758,1.372514,0.676047,0.157211,0.474087,1.335894,0.865042,1.833508,1.39619,1.438485,1.507393,1.554361,1.974102,1.768697,0.705175,0.476246,1.096149,0.573106,0.517928,2.005697,1.4617,1.26337
59,0.837806,1.725108,1.322725,1.771154,0.300456,0.634264,1.085745,0.741851,1.503566,0.530265,1.307725,1.68313,1.599033,0.533203,0.853751,0.367197,0.699793,0.283863,0.555686,0.248125,0.599357,0.607455,1.470406,1.414205,0.649882,1.471004,1.300751,0.622312,0.707832,0.973058
60,1.077872,0.750771,0.174255,0.565833,1.054057,0.771704,0.696361,1.504995,0.360498,1.132725,0.773176,0.586674,0.779339,0.888409,0.532798,1.541638,1.22493,1.062442,1.287966,1.144182,1.723615,1.550943,0.905114,0.64087,0.81868,0.783564,0.574107,1.755747,1.293999,1.198162
61,1.228202,1.124443,0.450887,0.825076,1.445969,1.253371,1.229655,1.698794,0.242856,1.630583,1.284559,0.935541,1.21601,1.227858,1.029068,1.998416,1.742378,1.476833,1.788777,1.514363,2.199352,2.045824,1.392409,1.123925,1.315803,1.261128,1.082999,2.231037,1.810943,1.731699
62,0.27884,1.924595,1.056099,1.772596,0.920211,1.139844,1.535735,0.583025,1.063074,1.403022,1.739224,1.782564,1.897432,0.722815,1.128246,1.470183,1.596684,1.000904,1.522965,0.887109,1.703621,1.677694,1.917397,1.712785,1.228835,1.838672,1.600855,1.72686,1.64141,1.779496
63,1.158374,0.683798,0.656741,0.751439,0.813445,0.412486,0.174167,1.465726,0.882056,0.670018,0.358747,0.644212,0.578175,0.778828,0.261877,1.130585,0.714649,0.779924,0.809788,0.922052,1.273216,1.073937,0.538657,0.383884,0.400226,0.478598,0.264205,1.305019,0.782982,0.656717
64,0.542366,1.48225,0.565733,1.285772,0.964411,0.978342,1.233944,1.011138,0.533817,1.333118,1.398443,1.32078,1.48953,0.716677,0.857003,1.565434,1.501972,1.025111,1.482545,0.992349,1.793367,1.699563,1.562959,1.323309,1.067206,1.461402,1.226315,1.822121,1.561525,1.607602
65,1.245202,1.093372,0.443962,0.7924,1.448271,1.246706,1.210701,1.715103,0.24662,1.622577,1.260881,0.904391,1.187078,1.233197,1.019964,1.995872,1.731218,1.477362,1.780513,1.518583,2.194838,2.038656,1.366188,1.097961,1.307393,1.234427,1.059453,2.226604,1.799929,1.715466
66,0.252429,1.849199,1.13053,1.776588,0.528314,0.863428,1.330777,0.271432,1.228239,1.029122,1.555891,1.743693,1.778401,0.432303,0.948694,1.014136,1.225563,0.609279,1.123906,0.461247,1.244806,1.242371,1.73696,1.583644,0.938951,1.68744,1.463623,1.266317,1.258842,1.449704
67,1.296713,2.027621,1.769161,2.131517,0.768556,1.007737,1.370039,1.089868,1.962555,0.72876,1.564569,2.021571,1.876594,1.010123,1.246996,0.256292,0.797746,0.728719,0.637872,0.727344,0.285691,0.472272,1.69926,1.711372,0.986696,1.73442,1.611359,0.28331,0.762614,1.070142
68,0.987519,1.558139,0.687389,1.286744,1.412743,1.359489,1.500077,1.442709,0.498371,1.733883,1.614463,1.373874,1.618084,1.166687,1.1864,2.010146,1.885313,1.467298,1.889338,1.449043,2.233576,2.122401,1.753276,1.489275,1.441393,1.631904,1.419207,2.263271,1.949425,1.945655
69,1.249203,2.897304,1.988838,2.70838,1.847067,2.128247,2.537555,1.210295,1.926917,2.34777,2.740183,2.741802,2.885747,1.694891,2.130068,2.297638,2.544449,1.928872,2.445463,1.782449,2.514834,2.548836,2.917551,2.705704,2.214508,2.835026,2.596574,2.530855,2.57985,2.754154
70,0.563487,2.098535,1.437886,2.055978,0.647928,1.045083,1.529991,0.162422,1.546046,1.105058,1.759548,2.009148,2.009701,0.667152,1.182076,0.944327,1.291734,0.712831,1.159924,0.545081,1.153766,1.210288,1.937139,1.814816,1.10377,1.90486,1.694374,1.168558,1.309068,1.549012
71,1.32452,0.652249,0.37514,0.377789,1.315896,1.011387,0.834262,1.762599,0.428656,1.354444,0.840674,0.46451,0.741424,1.15398,0.770992,1.783032,1.424044,1.320577,1.504964,1.407883,1.954311,1.770097,0.929065,0.663732,1.047103,0.795471,0.643499,1.986476,1.492855,1.355066
72,0.926447,0.9677,0.699695,1.004124,0.528379,0.136218,0.386471,1.19333,0.923216,0.483257,0.61292,0.914341,0.861815,0.512124,0.120886,0.901533,0.59842,0.497664,0.640267,0.636916,1.07401,0.901239,0.793375,0.668431,0.16805,0.753712,0.549242,1.106174,0.665708,0.660906
73,0.24564,1.569331,0.857422,1.492407,0.412526,0.637252,1.077509,0.555534,0.975424,0.88339,1.297284,1.460398,1.505,0.204341,0.681646,0.998796,1.076772,0.489781,1.006774,0.407036,1.232446,1.177819,1.478688,1.311181,0.722467,1.42066,1.192049,1.2588,1.121983,1.265311
74,1.984819,2.919764,2.07677,2.621261,2.5944,2.669266,2.880823,2.265423,1.880981,3.016195,3.003693,2.731394,2.997155,2.357157,2.536535,3.180636,3.190818,2.667474,3.160181,2.587855,3.414912,3.357279,3.142127,2.876894,2.758323,3.019244,2.808718,3.440317,3.248704,3.295109
75,0.47457,1.62442,0.711055,1.431647,0.986123,1.055772,1.349266,0.926958,0.674637,1.393262,1.523152,1.464892,1.626806,0.741633,0.959999,1.585102,1.570551,1.054093,1.537051,0.998243,1.816861,1.740215,1.691109,1.456909,1.14651,1.593374,1.356682,1.844382,1.626993,1.696143
76,0.986039,0.969305,0.77267,1.031583,0.540025,0.133106,0.352688,1.229313,0.997783,0.419776,0.582395,0.931444,0.850745,0.558401,0.195122,0.856835,0.522419,0.497863,0.574076,0.648994,1.018556,0.837597,0.759764,0.661256,0.115329,0.73312,0.545521,1.05071,0.590362,0.581274
77,1.391632,1.573036,1.536184,1.732555,0.751085,0.736564,0.934375,1.36815,1.756044,0.356533,1.092155,1.601773,1.406616,0.977449,0.959299,0.336169,0.298608,0.67248,0.198342,0.788628,0.314838,0.086293,1.201883,1.264653,0.67146,1.259063,1.182834,0.341856,0.241489,0.536701
78,0.97805,1.791608,1.445801,1.859495,0.432767,0.719589,1.140705,0.845773,1.632887,0.536114,1.35483,1.762802,1.655808,0.672624,0.950803,0.243504,0.677485,0.400406,0.519266,0.390874,0.467407,0.510178,1.508938,1.476985,0.719011,1.521835,1.367766,0.488018,0.671435,0.959563
79,1.475291,0.527711,0.913901,0.732396,1.070989,0.66612,0.181027,1.759208,1.12503,0.78719,0.051571,0.582013,0.363457,1.078073,0.576931,1.258042,0.747577,1.021796,0.88763,1.179442,1.351562,1.130015,0.227041,0.231477,0.617209,0.220325,0.205471,1.381356,0.805625,0.567435
80,0.833966,1.279053,0.368239,1.041099,1.135841,1.036647,1.166895,1.305447,0.24247,1.415075,1.289608,1.102826,1.318476,0.898291,0.853895,1.721233,1.559372,1.181243,1.572238,1.187544,1.938013,1.812961,1.435394,1.176093,1.115597,1.318667,1.098091,1.968558,1.624594,1.611563
81,0.956669,0.992692,0.766613,1.047746,0.512524,0.105483,0.381625,1.199427,0.990337,0.418289,0.611241,0.950746,0.876752,0.528241,0.187629,0.845895,0.53141,0.472383,0.574562,0.621558,1.012827,0.836511,0.789053,0.686318,0.105341,0.760704,0.569668,1.044998,0.598607,0.602953
82,1.640621,2.022018,1.951358,2.184746,1.042137,1.149723,1.386764,1.487153,2.163821,0.786177,1.539633,2.054093,1.852858,1.289121,1.384357,0.443211,0.750015,0.979227,0.637811,1.035859,0.21098,0.373506,1.639368,1.715726,1.09784,1.704655,1.635192,0.183262,0.688967,0.959656
83,0.966632,0.800565,0.462873,0.774053,0.733546,0.392035,0.40083,1.315217,0.691014,0.742837,0.573317,0.708855,0.736755,0.635146,0.152862,1.163331,0.838313,0.72252,0.897735,0.836055,1.337243,1.160968,0.747492,0.545449,0.43007,0.666424,0.42975,1.369412,0.907171,0.841533
84,1.014788,1.670722,1.381822,1.753514,0.409456,0.620569,1.015929,0.942352,1.579303,0.398357,1.225535,1.650457,1.530086,0.657185,0.858533,0.191975,0.537149,0.353542,0.380218,0.404098,0.424312,0.407012,1.375988,1.354899,0.607267,1.393678,1.24854,0.451231,0.533003,0.819006
85,1.35719,2.311425,1.434721,2.030539,1.946243,2.007378,2.226081,1.69197,1.253688,2.356821,2.35801,2.125784,2.373319,1.70519,1.87552,2.539392,2.529774,2.017061,2.502434,1.947041,2.772978,2.70529,2.503082,2.241378,2.096285,2.38411,2.16647,2.799398,2.588222,2.63327
86,0.815001,1.952006,1.469864,1.976444,0.469521,0.855852,1.323113,0.581562,1.629317,0.778862,1.547981,1.898478,1.833124,0.64388,1.057603,0.523077,0.943338,0.48882,0.792907,0.372068,0.726439,0.797753,1.713737,1.6451,0.883431,1.708892,1.529208,0.740986,0.946051,1.219788
87,1.039594,2.484974,1.560998,2.262431,1.681038,1.873501,2.217892,1.213589,1.460143,2.159862,2.398295,2.316376,2.498814,1.476745,1.818866,2.22102,2.351707,1.761609,2.283003,1.645669,2.452552,2.436927,2.567302,2.332237,1.964449,2.469402,2.232981,2.474243,2.398648,2.519672
88,1.44528,1.194176,0.663877,0.87246,1.671248,1.465087,1.398206,1.916681,0.468603,1.838692,1.424964,1.007745,1.311806,1.454689,1.235129,2.217864,1.941224,1.700475,1.996085,1.740818,2.415193,2.255787,1.512565,1.248735,1.523196,1.378289,1.226038,2.447032,2.010179,1.911301
89,1.801978,2.202511,2.142876,2.372313,1.219623,1.341698,1.573108,1.614707,2.35448,0.978354,1.719435,2.239705,2.031105,1.467321,1.576666,0.618384,0.935398,1.160202,0.828942,1.205346,0.395109,0.563917,1.812137,1.898925,1.290212,1.882648,1.82117,0.36449,0.872286,1.130012
90,1.736313,2.081262,2.037885,2.253421,1.137294,1.235351,1.453754,1.577815,2.251877,0.86677,1.598135,2.119851,1.909576,1.384072,1.46802,0.538954,0.816029,1.073708,0.714701,1.131666,0.306082,0.449518,1.690384,1.778306,1.180555,1.761107,1.701564,0.278953,0.752201,1.008274
